age,gender,hometown,study_time,attendance,sleep,outings,screen_time,stress,study_group,study_place,notes,food,physical_activity,previous_grade
19,Female,Rural (villages),2,>=90,6-8 hours,No outings,2,5,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,Never,<2.67
18,Male,Urban (Cities etc.),4,>=90,4-6 hours,No outings,2,1,"No, i study alone.",Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Healthy,1-2 times,<2.67
20,Male,Rural (villages),2,>=90,6-8 hours,Once a week,2,4,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,Never,<2.67
18,Female,Rural (villages),3,>=90,2-4 hours,No outings,2,3,"No, i study alone.",Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Mixed,Never,<2.67
17,Male,Rural (villages),2,<80,More than 8 hours,3-5 times,4,3,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,1-2 times,<2.67
18,Female,Urban (Cities etc.),2,>=90,6-8 hours,No outings,2,4,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,Never,<2.67
17,Male,Rural (villages),5,>=80,2-4 hours,No outings,1,5,Yes,Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Healthy,Daily,<2.67
21,Prefer not to say,Rural (villages),1,<80,More than 8 hours,Everyday,3,5,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Junk,Never,<2.67
17,Female,Urban (Cities etc.),1,>=90,More than 8 hours,Twice a week,4,5,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Junk,Never,<2.67
21,Male,Urban (Cities etc.),2,>=90,6-8 hours,3-5 times,4,2,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,1-2 times,<2.67
21,Male,Urban (Cities etc.),1,<80,More than 8 hours,Everyday,0,5,Yes,Home/Hostel Room,"No, I usually dont take notes in classes",Junk,Never,<2.67
20,Male,Urban (Cities etc.),2,<80,4-6 hours,No outings,1,5,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,<2.67
22,Male,Urban (Cities etc.),2,>=90,6-8 hours,No outings,4,4,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,<2.67
18,Male,Rural (villages),2,>=90,4-6 hours,No outings,5,3,"No, i study alone.",Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Mixed,1-2 times,<2.67
19,Female,Rural (villages),2,>=90,6-8 hours,No outings,2,5,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,Never,<2.67
18,Male,Urban (Cities etc.),4,>=90,4-6 hours,No outings,2,1,"No, i study alone.",Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Healthy,1-2 times,<2.67
20,Male,Rural (villages),2,>=90,6-8 hours,Once a week,2,4,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,Never,<2.67
18,Female,Rural (villages),3,>=90,2-4 hours,No outings,2,3,"No, i study alone.",Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Mixed,Never,<2.67
17,Male,Rural (villages),2,<80,More than 8 hours,3-5 times,4,3,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,1-2 times,<2.67
18,Female,Urban (Cities etc.),2,>=90,6-8 hours,No outings,2,4,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,Never,<2.67
17,Male,Rural (villages),5,>=80,2-4 hours,No outings,1,5,Yes,Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Healthy,Daily,<2.67
21,Prefer not to say,Rural (villages),1,<80,More than 8 hours,Everyday,3,5,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Junk,Never,<2.67
17,Female,Urban (Cities etc.),1,>=90,More than 8 hours,Twice a week,4,5,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Junk,Never,<2.67
21,Male,Urban (Cities etc.),2,>=90,6-8 hours,3-5 times,4,2,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,1-2 times,<2.67
21,Male,Urban (Cities etc.),1,<80,More than 8 hours,Everyday,0,5,Yes,Home/Hostel Room,"No, I usually dont take notes in classes",Junk,Never,<2.67
20,Male,Urban (Cities etc.),2,<80,4-6 hours,No outings,1,5,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,<2.67
